#jdb (days)	RV (km/s)	RV error (km/s)	realistic RV error (km/s)	Bisector (km/s)	FWHM (km/s)	Photon noise (km/s)	log(R'hk)	log(R'hk) error	Low pass filter log(R'hk)	Alpha (hours)	Delta (degrees)	Seeing
#----------	---------	---------------	-------------------------	---------------	-----------	-------------------	---------	---------------	-------------------------	-------------	---------------	------
54991.640049	-22.551402	0.000424	0.001013	0.002789	6.269063	0.000049	-4.9312	0.0003	-4.9306	14.6586913028	-60.8340443149	0.66
54991.707313	-22.550098	0.000441	0.001020	0.003030	6.273897	0.000061	-4.9334	0.0004	-4.9306	14.6586913028	-60.8340443149	0.78
54992.549465	-22.551084	0.000424	0.001013	0.003081	6.273837	0.000064	-4.9304	0.0004	-4.9305	14.6586906328	-60.8340414502	0.70
54992.631429	-22.550180	0.000424	0.001013	0.002910	6.275115	0.000049	-4.9298	0.0003	-4.9304	14.6586906328	-60.8340414502	0.73
54992.699453	-22.550779	0.000424	0.001013	0.003209	6.275499	0.000050	-4.9310	0.0003	-4.9304	14.6586906328	-60.8340414502	0.98
54994.519220	-22.551453	0.000414	0.001009	0.004072	6.277263	0.000047	-4.9232	0.0003	-4.9302	14.6586892733	-60.8340354971	0.56
54994.618626	-22.551639	0.000414	0.001009	0.004235	6.276040	0.000048	-4.9236	0.0003	-4.9302	14.6586892733	-60.8340354971	0.55
54994.708541	-22.550978	0.000414	0.001009	0.004401	6.277706	0.000054	-4.9230	0.0003	-4.9302	14.6586892733	-60.8340354971	1.03
54995.515746	-22.549669	0.000424	0.001013	0.004384	6.279292	0.000058	-4.9211	0.0003	-4.9301	14.6586885931	-60.8340324490	1.10
54995.612747	-22.550347	0.000424	0.001013	0.004975	6.275374	0.000045	-4.9183	0.0002	-4.9301	14.6586885931	-60.8340324490	1.71
54995.707558	-22.550408	0.000424	0.001013	0.004802	6.274574	0.000058	-4.9205	0.0003	-4.9301	14.6586885931	-60.8340324490	1.30
54996.505420	-22.551871	0.000414	0.001009	0.005137	6.277671	0.000042	-4.9169	0.0002	-4.9300	14.6586879219	-60.8340293951	1.12
54998.510470	-22.554069	0.000424	0.001013	0.005210	6.278910	0.000058	-4.9189	0.0003	-4.9298	14.6586865782	-60.8340231442	1.26
54998.644621	-22.552545	0.000424	0.001013	0.005035	6.278856	0.000073	-4.9136	0.0004	-4.9298	14.6586865782	-60.8340231442	1.68
54998.696212	-22.552056	0.000463	0.001030	0.005292	6.281965	0.000112	-4.9200	0.0007	-4.9298	14.6586865782	-60.8340231442	1.85
54999.501626	-22.551678	0.000424	0.001013	0.004672	6.277864	0.000055	-4.9199	0.0003	-4.9297	14.6586859215	-60.8340200158	1.31
54999.594512	-22.552548	0.000424	0.001013	0.004798	6.274872	0.000069	-4.9214	0.0004	-4.9297	14.6586859215	-60.8340200158	0.99
54999.667773	-22.553461	0.000580	0.001088	0.004946	6.273542	0.000078	-4.9218	0.0005	-4.9297	14.6586859215	-60.8340200158	0.83
55001.608505	-22.552673	0.000424	0.001013	0.004050	6.269780	0.000062	-4.9300	0.0004	-4.9295	14.6586845442	-60.8340133065	0.86
55002.562631	-22.553312	0.000414	0.001009	0.003974	6.272190	0.000064	-4.9349	0.0004	-4.9294	14.6586839276	-60.8340102354	1.23
55002.678464	-22.553579	0.000414	0.001009	0.004069	6.271560	0.000063	-4.9356	0.0004	-4.9294	14.6586839276	-60.8340102354	1.17
55022.468042	-22.567289	0.000401	0.001004	0.004195	6.270592	0.000043	-4.9294	0.0002	-4.9220	14.6586723600	-60.8339430275	0.60
55022.575454	-22.567694	0.000401	0.001004	0.004496	6.264857	0.000048	-4.9284	0.0003	-4.9220	14.6586723600	-60.8339430275	0.71
55036.548933	-22.571874	0.000395	0.001001	0.005614	6.279236	0.000047	-4.9010	0.0003	-4.9123	14.6586658566	-60.8338940338	1.31
55037.536027	-22.572588	0.000377	0.000994	0.005282	6.274836	0.000038	-4.9031	0.0002	-4.9117	14.6586654280	-60.8338903669	0.67
55037.607158	-22.569468	0.000377	0.000994	0.005663	6.275798	0.000045	-4.9036	0.0003	-4.9116	14.6586654280	-60.8338903669	0.64
55038.484697	-22.572134	0.000395	0.001001	0.004937	6.275263	0.000041	-4.9076	0.0002	-4.9111	14.6586650479	-60.8338870610	0.87
55039.489605	-22.573499	0.000395	0.001001	0.003854	6.275238	0.000039	-4.9111	0.0002	-4.9105	14.6586646537	-60.8338835716	0.44
55039.571676	-22.571958	0.000395	0.001001	0.004181	6.273003	0.000043	-4.9109	0.0002	-4.9104	14.6586646537	-60.8338835716	0.69
55040.471732	-22.573134	0.000533	0.001063	0.004349	6.274511	0.000080	-4.9100	0.0005	-4.9099	14.6586642756	-60.8338801625	0.89
55040.540200	-22.571285	0.000401	0.001004	0.004185	6.274384	0.000042	-4.9072	0.0002	-4.9099	14.6586642756	-60.8338801625	0.87
55041.478048	-22.573811	0.000348	0.000984	0.004198	6.275399	0.000028	-4.9074	0.0002	-4.9093	14.6586638978	-60.8338766961	1.01
55041.545442	-22.572437	0.000348	0.000984	0.004194	6.280078	0.000035	-4.9088	0.0002	-4.9093	14.6586638978	-60.8338766961	1.52
